rho,score_Chile,score_Australia,score_Indonesia,score_DR Congo,rank_Chile,rank_Australia,rank_Indonesia,rank_DR Congo
-2.00,0.5092,0.2078,0.3837,0.1371,1,3,2,4
-1.95,0.5112,0.2103,0.3857,0.1379,1,3,2,4
-1.90,0.5132,0.2129,0.3876,0.1387,1,3,2,4
-1.85,0.5152,0.2157,0.3897,0.1395,1,3,2,4
-1.80,0.5173,0.2185,0.3917,0.1403,1,3,2,4
-1.75,0.5193,0.2214,0.3938,0.1412,1,3,2,4
-1.70,0.5215,0.2245,0.3959,0.1421,1,3,2,4
-1.65,0.5236,0.2277,0.3981,0.1431,1,3,2,4
-1.60,0.5258,0.2310,0.4003,0.1440,1,3,2,4
-1.55,0.5280,0.2345,0.4026,0.1451,1,3,2,4
-1.50,0.5302,0.2381,0.4049,0.1462,1,3,2,4
-1.45,0.5324,0.2418,0.4072,0.1473,1,3,2,4
-1.40,0.5347,0.2457,0.4096,0.1485,1,3,2,4
-1.35,0.5370,0.2497,0.4120,0.1497,1,3,2,4
-1.30,0.5393,0.2540,0.4145,0.1510,1,3,2,4
-1.25,0.5416,0.2583,0.4170,0.1524,1,3,2,4
-1.20,0.5440,0.2629,0.4195,0.1538,1,3,2,4
-1.15,0.5464,0.2676,0.4221,0.1553,1,3,2,4
-1.10,0.5488,0.2725,0.4247,0.1568,1,3,2,4
-1.05,0.5512,0.2776,0.4274,0.1585,1,3,2,4
-1.00,0.5537,0.2829,0.4301,0.1602,1,3,2,4
-0.95,0.5561,0.2884,0.4328,0.1620,1,3,2,4
-0.90,0.5586,0.2941,0.4356,0.1639,1,3,2,4
-0.85,0.5611,0.2999,0.4384,0.1659,1,3,2,4
-0.80,0.5637,0.3060,0.4413,0.1680,1,3,2,4
-0.75,0.5662,0.3122,0.4442,0.1701,1,3,2,4
-0.70,0.5688,0.3187,0.4471,0.1724,1,3,2,4
-0.65,0.5713,0.3253,0.4501,0.1749,1,3,2,4
-0.60,0.5739,0.3321,0.4531,0.1774,1,3,2,4
-0.55,0.5765,0.3391,0.4561,0.1800,1,3,2,4
-0.50,0.5791,0.3463,0.4592,0.1828,1,3,2,4
-0.45,0.5818,0.3536,0.4623,0.1858,1,3,2,4
-0.40,0.5844,0.3611,0.4655,0.1889,1,3,2,4
-0.35,0.5870,0.3688,0.4686,0.1921,1,3,2,4
-0.30,0.5897,0.3765,0.4718,0.1955,1,3,2,4
-0.25,0.5924,0.3844,0.4750,0.1990,1,3,2,4
-0.20,0.5950,0.3925,0.4783,0.2027,1,3,2,4
-0.15,0.5977,0.4006,0.4815,0.2066,1,3,2,4
-0.10,0.6004,0.4088,0.4848,0.2107,1,3,2,4
-0.05,0.6031,0.4171,0.4882,0.2149,1,3,2,4
0.00,0.6057,0.4254,0.4915,0.2194,1,3,2,4
0.05,0.6084,0.4338,0.4948,0.2240,1,3,2,4
0.10,0.6111,0.4422,0.4982,0.2288,1,3,2,4
0.15,0.6138,0.4506,0.5016,0.2338,1,3,2,4
0.20,0.6165,0.4590,0.5050,0.2390,1,3,2,4
0.25,0.6191,0.4674,0.5084,0.2444,1,3,2,4
0.30,0.6218,0.4758,0.5118,0.2499,1,3,2,4
0.35,0.6245,0.4841,0.5152,0.2557,1,3,2,4
0.40,0.6271,0.4924,0.5186,0.2616,1,3,2,4
0.45,0.6298,0.5005,0.5221,0.2677,1,3,2,4
0.50,0.6324,0.5087,0.5255,0.2740,1,3,2,4
0.55,0.6351,0.5167,0.5289,0.2804,1,3,2,4
0.60,0.6377,0.5246,0.5324,0.2870,1,3,2,4
0.65,0.6403,0.5324,0.5358,0.2937,1,3,2,4
0.70,0.6429,0.5402,0.5392,0.3005,1,2,3,4
0.75,0.6455,0.5477,0.5426,0.3075,1,2,3,4
0.80,0.6481,0.5552,0.5460,0.3146,1,2,3,4
0.85,0.6507,0.5625,0.5494,0.3218,1,2,3,4
0.90,0.6532,0.5698,0.5528,0.3290,1,2,3,4
0.95,0.6557,0.5768,0.5562,0.3364,1,2,3,4
1.00,0.6583,0.5837,0.5596,0.3437,1,2,3,4
1.05,0.6608,0.5905,0.5630,0.3512,1,2,3,4
1.10,0.6632,0.5972,0.5663,0.3586,1,2,3,4
1.15,0.6657,0.6037,0.5696,0.3661,1,2,3,4
1.20,0.6681,0.6101,0.5729,0.3736,1,2,3,4
1.25,0.6706,0.6163,0.5762,0.3811,1,2,3,4
1.30,0.6730,0.6224,0.5795,0.3886,1,2,3,4
1.35,0.6754,0.6283,0.5827,0.3960,1,2,3,4
1.40,0.6777,0.6341,0.5860,0.4035,1,2,3,4
1.45,0.6801,0.6398,0.5892,0.4108,1,2,3,4
1.50,0.6824,0.6453,0.5924,0.4182,1,2,3,4
1.55,0.6847,0.6507,0.5955,0.4254,1,2,3,4
1.60,0.6870,0.6560,0.5987,0.4326,1,2,3,4
1.65,0.6893,0.6611,0.6018,0.4398,1,2,3,4
1.70,0.6915,0.6662,0.6049,0.4468,1,2,3,4
1.75,0.6937,0.6711,0.6079,0.4538,1,2,3,4
1.80,0.6959,0.6759,0.6110,0.4607,1,2,3,4
1.85,0.6981,0.6805,0.6140,0.4675,1,2,3,4
1.90,0.7002,0.6851,0.6170,0.4742,1,2,3,4
1.95,0.7024,0.6895,0.6199,0.4808,1,2,3,4
2.00,0.7045,0.6939,0.6229,0.4873,1,2,3,4
