indicator,FV1,FV2,MF1,MF2,SV1,SV2,EX1,EX2,LL1,LL2
FV1,1.000,0.736,-0.027,-0.094,0.424,-0.253,-0.067,0.109,0.144,0.251
FV2,0.736,1.000,-0.258,-0.386,0.063,-0.547,-0.161,0.013,0.288,0.301
MF1,-0.027,-0.258,1.000,0.927,0.135,0.174,0.250,0.132,-0.925,-0.532
MF2,-0.094,-0.386,0.927,1.000,0.281,0.364,0.286,0.200,-0.893,-0.573
SV1,0.424,0.063,0.135,0.281,1.000,0.553,0.041,0.123,-0.069,0.125
SV2,-0.253,-0.547,0.174,0.364,0.553,1.000,0.161,0.040,-0.175,-0.165
EX1,-0.067,-0.161,0.250,0.286,0.041,0.161,1.000,0.719,-0.153,0.299
EX2,0.109,0.013,0.132,0.200,0.123,0.040,0.719,1.000,0.006,0.221
LL1,0.144,0.288,-0.925,-0.893,-0.069,-0.175,-0.153,0.006,1.000,0.624
LL2,0.251,0.301,-0.532,-0.573,0.125,-0.165,0.299,0.221,0.624,1.000
