dropped_indicator,Chile,Australia,Indonesia,DR Congo,max_rank_shift
FV1: Value of mine production (USD bn),+0.273 (1),+0.121 (2),-0.019 (3),-0.074 (4),0
FV2: Focal-mineral production value (% of GDP),+0.273 (1),+0.121 (2),+0.093 (3),-0.175 (4),0
"MF1: Regulatory quality (WGI score, 0-100)",+0.280 (1),+0.121 (2),+0.044 (3),-0.125 (4),0
"MF2: Government effectiveness (WGI score, 0-100)",+0.265 (1),+0.121 (2),+0.030 (3),-0.125 (4),0
SV1: Share of global refining (%),+0.300 (1),+0.128 (2),+0.037 (3),-0.125 (4),0
SV2: Downstream capture ratio (refining/mining share),+0.245 (1),+0.114 (2),+0.037 (3),-0.125 (4),0
EX1: Grid carbon intensity (gCO2/kWh),+0.283 (1),+0.182 (2),+0.037 (3),-0.125 (4),0
EX2: Water stress (% withdrawal),+0.262 (1),+0.060 (2),+0.037 (3),-0.125 (4),0
LL1: Rule-of-law gap (100 - WGI score),+0.272 (1),+0.121 (2),-0.009 (3),-0.113 (4),0
LL2: Environmental performance gap (100 - EPI),+0.273 (1),+0.121 (2),+0.083 (3),-0.136 (4),0
