system,cluster,FV,MF,SV,EX,LL,ISEE,rank
CAN-Co,1,0.000,0.984,0.177,0.123,0.158,+0.176,1
CAN-Ni,1,0.047,0.984,0.088,0.123,0.158,+0.168,2
AUS-Li,1,0.202,0.987,0.010,0.459,0.011,+0.146,3
AUS-Cu,1,0.086,0.987,0.050,0.459,0.011,+0.131,4
AUS-Ni,1,0.042,0.987,0.055,0.459,0.011,+0.123,5
AUS-Co,1,0.000,0.987,0.051,0.459,0.011,+0.114,6
CHL-Cu,1,0.698,0.769,0.092,0.733,0.282,+0.109,7
USA-Cu,1,0.109,0.917,0.088,0.583,0.162,+0.074,8
CHL-Li,1,0.133,0.769,0.327,0.733,0.282,+0.043,9
ZMB-Cu,3,0.436,0.277,0.078,0.091,0.764,-0.013,10
BRA-Ni,3,0.022,0.457,0.043,0.069,0.516,-0.013,11
PER-Cu,3,0.389,0.521,0.038,0.266,0.756,-0.015,12
CHN-Cu,2,0.170,0.580,0.838,0.920,0.757,-0.018,13
BRA-Li,3,0.010,0.457,0.020,0.069,0.516,-0.020,14
COD-Cu,3,0.749,0.013,0.092,0.000,0.966,-0.022,15
IDN-Ni,2,0.499,0.636,0.349,0.839,0.782,-0.027,16
CHN-Li,2,0.071,0.580,0.811,0.920,0.757,-0.043,17
ARG-Li,3,0.024,0.349,0.109,0.323,0.590,-0.086,18
MEX-Cu,2,0.079,0.495,0.060,0.694,0.598,-0.131,19
RUS-Cu,3,0.095,0.190,0.110,0.296,0.761,-0.132,20
RUS-Ni,3,0.052,0.190,0.128,0.296,0.761,-0.137,21
COD-Co,3,0.197,0.013,0.009,0.000,0.966,-0.150,22
RUS-Co,3,0.002,0.190,0.061,0.296,0.761,-0.161,23
KAZ-Cu,2,0.089,0.566,0.068,0.846,0.689,-0.163,24
IDN-Cu,2,0.090,0.636,0.061,0.839,0.782,-0.167,25
IDN-Co,2,0.006,0.636,0.098,0.839,0.782,-0.176,26
PHL-Ni,2,0.131,0.540,0.008,0.753,0.835,-0.182,27
PHL-Co,2,0.000,0.540,0.030,0.753,0.835,-0.203,28
CUB-Co,2,0.002,0.159,0.030,0.759,0.670,-0.248,29
ZWE-Li,3,0.041,0.072,0.000,0.559,0.888,-0.267,30
